(465, 1883)
(465, 3863)
(466, 1884)
(467, 1885)
(1678, 816)
(6428, 3827)
(6428, 5116)
(6429, 3828)
(6429, 5115)
(6430, 3829)
(6430, 5114)
(6431, 1219)
(6431, 3830)
(6431, 5113)
(6432, 1218)
(6433, 1217)
(7093, 2628)
(7093, 5039)
(7094, 2627)
(7095, 2626)
(7528, 393)
(7529, 394)
(7530, 395)
(7530, 890)
(8510, 479)
(8541, 1882)
(8541, 3864)
(8542, 1883)
(8542, 3863)
(10580, 628)
(10580, 3367)
(10581, 627)
(10581, 3368)
(10582, 626)
(12776, 4483)
(12777, 4484)
(18527, 3988)
(18528, 3178)
(18528, 3987)
(18529, 3177)
(19362, 62)
(19363, 61)
(19363, 2884)
(19363, 3969)
(19364, 60)
(19937, 1716)
(19938, 1715)
(20673, 62)
(20674, 61)
(20674, 2884)
(20674, 3969)
(20675, 3970)
(21250, 3237)
(21251, 842)
(21251, 3236)
(25455, 1330)
(25455, 2999)
(25455, 3551)
(25528, 628)
(25528, 3367)
(28279, 1715)
(32068, 1219)
(32068, 3830)
(32068, 5113)
(32069, 1218)
(32193, 603)
(32194, 604)
(32194, 1391)
(32195, 1392)
(32719, 5391)
(32720, 5390)
(33810, 1021)
(33810, 3578)
(33810, 4927)
(33954, 1441)
(33954, 2428)
(33955, 2427)
(34242, 840)
(34243, 841)
(34244, 842)
(34244, 3236)
(36097, 3764)
(36098, 1625)
(36098, 3763)
(38331, 1625)
(38331, 3763)
(38332, 1626)
(38332, 3762)
(38333, 3761)
(39344, 1020)
(39345, 1021)
(39345, 3578)
(39345, 4927)
(39346, 3579)
(39347, 3580)
(46598, 2430)
(46599, 1442)
(46599, 2429)
(46600, 1441)
(46600, 2428)
(46601, 2427)
(48037, 501)
(48037, 2222)
(50086, 1999)
(50839, 1219)
(50839, 3830)
(50839, 5113)
(50840, 1218)
(51745, 1474)
(51745, 5254)
(51746, 1473)
(51746, 5255)
(51747, 5256)
(52289, 3512)
(52290, 3513)
(55388, 107)
(55389, 108)
(55389, 642)
(55898, 4546)
(55899, 1586)
(55899, 4547)
(55900, 1585)
(55901, 1584)
(57116, 1586)
(57116, 4547)
(59652, 3713)
(60654, 2629)
(60655, 2628)
(60655, 5039)
(61989, 1330)
(61989, 2999)
(61989, 3551)
(61990, 3550)
(63418, 644)
(63419, 643)
(63420, 108)
(63420, 642)
(65506, 3072)
(65506, 5209)
(65507, 3071)
(65507, 5210)
(66356, 1019)
(66357, 1020)
(66358, 1021)
(66358, 3578)
(66358, 4927)
(70029, 3393)
(70030, 3392)
(74601, 1474)
(74601, 5254)
(74602, 1473)
(74602, 5255)
(74603, 1472)
(75448, 1332)
(75448, 3553)
(75449, 1331)
(75449, 3552)
(75450, 1330)
(75450, 2999)
(75450, 3551)
(75451, 1329)
(75452, 1328)
(75661, 3988)
(75662, 3178)
(75662, 3987)
(78437, 2883)
(78438, 61)
(78438, 2884)
(78438, 3969)
(78439, 2885)
(83508, 1782)
(83509, 1783)
(83890, 3739)
(83891, 2754)
(83891, 3740)
(86653, 604)
(86653, 1391)
(86654, 605)
(88511, 1883)
(88511, 3863)
(88512, 1884)
(88513, 1885)
(88514, 1886)
(91299, 3739)
(91300, 2754)
(91300, 3740)
(91301, 2755)
(91301, 3741)
(91578, 3072)
(91578, 5209)
(91579, 3071)
(91579, 5210)
(95773, 395)
(95773, 890)
(96672, 2332)
(97660, 2223)
(97661, 501)
(97661, 2222)
